"","month","most_trendy_item","most_trendy_color","most_trendy_material"
"1",2015-10-01,"doll dress","blue","tulle"
"2",2015-11-01,"patterned top","white","jacquard"
"3",2015-12-01,"maxi","white","chanel"
"4",2016-01-01,"long dress","white","jacquard"
"5",2016-02-01,"long dress","yellow","technical"
"6",2016-03-01,"patterned top","yellow","marocain"
"7",2016-04-01,"sleeveless","yellow","cloth"
"8",2016-05-01,"shirt dress","yellow","cloth"
"9",2016-06-01,"sleeveless","yellow","cloth"
"10",2016-07-01,"sleeveless","yellow","cloth"
"11",2016-08-01,"patterned top","yellow","cloth"
"12",2016-09-01,"shirt dress","yellow","cloth"
"13",2016-10-01,"long dress","yellow","cloth"
"14",2016-11-01,"patterned top","white","cloth"
"15",2016-12-01,"shirt dress","white","velvet"
"16",2017-01-01,"long dress","green","technical"
"17",2017-02-01,"patterned top","white","fluid"
"18",2017-03-01,"patterned top","yellow","fluid"
"19",2017-04-01,"shirt dress","yellow","fluid"
"20",2017-05-01,"shirt dress","yellow","cloth"
"21",2017-06-01,"shirt dress","yellow","cloth"
"22",2017-07-01,"shirt dress","yellow","cloth"
"23",2017-08-01,"shirt dress","yellow","cloth"
"24",2017-09-01,"shirt dress","yellow","cloth"
"25",2017-10-01,"shirt dress","yellow","cloth"
"26",2017-11-01,"long dress","yellow","cloth"
"27",2017-12-01,"long dress","white","fur"
"28",2018-01-01,"long dress","yellow","fluid"
"29",2018-02-01,"long dress","white","cloth"
"30",2018-03-01,"long dress","yellow","fluid"
"31",2018-04-01,"shirt dress","yellow","fluid"
"32",2018-05-01,"shirt dress","yellow","linen"
"33",2018-06-01,"shirt dress","yellow","linen"
"34",2018-07-01,"shorts","yellow","linen"
"35",2018-08-01,"patterned top","yellow","cloth"
"36",2018-09-01,"shirt dress","yellow","cloth"
"37",2018-10-01,"long dress","yellow","cloth"
"38",2018-11-01,"long dress","yellow","cloth"
"39",2018-12-01,"long sleeve","white","cloth"
"40",2019-01-01,"patterned top","yellow","cloth"
"41",2019-02-01,"patterned top","green","fluid"
"42",2019-03-01,"patterned top","yellow","fluid"
"43",2019-04-01,"shirt dress","yellow","fluid"
"44",2019-05-01,"shirt dress","yellow","linen"
"45",2019-06-01,"sleeveless","yellow","plisse"
"46",2019-07-01,"sleeveless","yellow","linen"
"47",2019-08-01,"shirt dress","yellow","macrame"
"48",2019-09-01,"shirt dress","yellow","cloth"
"49",2019-10-01,"long dress","yellow","cloth"
"50",2019-11-01,"long sleeve","yellow","cloth"
"51",2019-12-01,"long sleeve","white","acrylic"
